#,content_type,course_name,course_order,module_name,module_order,lesson_name,lesson_order,file_location
27,course,ASP.NET Core,1,Routing and URLs,3,Area Routing,5,course/aspnet-core/03-routing-urls/area-routing.json
28,course,ASP.NET Core,1,Model Binding and Validation,4,Model Binding Overview,1,course/aspnet-core/04-model-binding-validation/model-binding-overview.json
29,course,C# Fundamentals,1,Object-Oriented Programming,4,Classes and Objects,1,course/csharp-fundamentals/04-oop/classes-objects.json
30,course,ASP.NET Core,1,Model Binding and Validation,4,Binding Sources,2,course/aspnet-core/04-model-binding-validation/binding-sources.json
31,course,C# Fundamentals,1,Object-Oriented Programming,4,Inheritance,2,course/csharp-fundamentals/04-oop/inheritance.json
32,course,ASP.NET Core,1,Model Binding and Validation,4,Built-in Validation Attributes,3,course/aspnet-core/04-model-binding-validation/validation-attributes.json
33,course,C# Fundamentals,1,Object-Oriented Programming,4,Interfaces,3,course/csharp-fundamentals/04-oop/interfaces.json
34,course,ASP.NET Core,1,Model Binding and Validation,4,Custom Validation,4,course/aspnet-core/04-model-binding-validation/custom-validation.json
35,course,C# Fundamentals,1,Object-Oriented Programming,4,Encapsulation and Access Modifiers,4,course/csharp-fundamentals/04-oop/encapsulation.json
36,course,ASP.NET Core,1,Model Binding and Validation,4,Client-Side Validation,5,course/aspnet-core/04-model-binding-validation/client-side-validation.json
37,course,ASP.NET Core,1,Razor Views,5,Razor Syntax Fundamentals,1,course/aspnet-core/05-razor-views/razor-syntax.json
38,course,C# Fundamentals,1,Advanced Features,5,Collections,1,course/csharp-fundamentals/05-advanced-features/collections.json
39,course,ASP.NET Core,1,Razor Views,5,Layouts and Partial Views,2,course/aspnet-core/05-razor-views/layouts-and-partials.json
40,course,C# Fundamentals,1,Advanced Features,5,Generics,2,course/csharp-fundamentals/05-advanced-features/generics.json
41,course,ASP.NET Core,1,Razor Views,5,View Components,3,course/aspnet-core/05-razor-views/view-components.json
42,course,C# Fundamentals,1,Advanced Features,5,Async/Await,3,course/csharp-fundamentals/05-advanced-features/async-await.json
43,course,ASP.NET Core,1,Razor Views,5,Tag Helpers,4,course/aspnet-core/05-razor-views/tag-helpers.json
44,course,C# Fundamentals,1,Advanced Features,5,LINQ Basics,4,course/csharp-fundamentals/05-advanced-features/linq-basics.json
45,course,ASP.NET Core,1,Razor Views,5,Partial Views in Razor,5,course/aspnet-core/05-razor-views/partial-views.json
46,course,C# Fundamentals,1,Advanced Features,5,Delegates and Events,5,course/csharp-fundamentals/05-advanced-features/delegates-events.json
47,course,C# Fundamentals,1,Advanced Features,5,Extension Methods,6,course/csharp-fundamentals/05-advanced-features/extension-methods.json
48,course,ASP.NET Core,1,Dependency Injection,6,Dependency Injection Basics,1,course/aspnet-core/06-dependency-injection/di-basics.json
49,course,C# Fundamentals,1,Error Handling,6,Error Handling,1,course/csharp-fundamentals/06-error-handling/error-handling.json
50,course,ASP.NET Core,1,Dependency Injection,6,Service Lifetimes,2,course/aspnet-core/06-dependency-injection/service-lifetimes.json
51,course,C# Fundamentals,1,Error Handling,6,Exception Types,2,course/csharp-fundamentals/06-error-handling/exception-types.json
52,course,ASP.NET Core,1,Dependency Injection,6,Constructor Injection,3,course/aspnet-core/06-dependency-injection/constructor-injection.json
53,course,C# Fundamentals,1,Error Handling,6,Try/Catch/Finally,3,course/csharp-fundamentals/06-error-handling/try-catch-finally.json
54,course,ASP.NET Core,1,Dependency Injection,6,Configuring Services,4,course/aspnet-core/06-dependency-injection/configuring-services.json
55,course,ASP.NET Core,1,Dependency Injection,6,Advanced DI Patterns,5,course/aspnet-core/06-dependency-injection/advanced-di-patterns.json
56,course,ASP.NET Core,1,Middleware Pipeline,7,Middleware Concepts,1,course/aspnet-core/07-middleware-pipeline/middleware-concepts.json
57,course,C# Fundamentals,1,Modern C# Features,7,File I/O,1,course/csharp-fundamentals/07-modern-csharp/file-io.json
58,course,ASP.NET Core,1,Middleware Pipeline,7,Built-in Middleware,2,course/aspnet-core/07-middleware-pipeline/built-in-middleware.json
59,course,C# Fundamentals,1,Modern C# Features,7,Records and Pattern Matching,2,course/csharp-fundamentals/07-modern-csharp/records-patterns.json
60,course,ASP.NET Core,1,Middleware Pipeline,7,Custom Middleware,3,course/aspnet-core/07-middleware-pipeline/custom-middleware.json
61,course,C# Fundamentals,1,Modern C# Features,7,Nullable Types,3,course/csharp-fundamentals/07-modern-csharp/nullable-types.json
62,course,ASP.NET Core,1,Middleware Pipeline,7,Exception Handling Middleware,4,course/aspnet-core/07-middleware-pipeline/exception-handling.json
63,course,ASP.NET Core,1,Middleware Pipeline,7,Static Files and Caching,5,course/aspnet-core/07-middleware-pipeline/static-files-and-caching.json
64,course,ASP.NET Core,1,Entity Framework Core,8,Introduction to EF Core,1,course/aspnet-core/08-entity-framework-core/efcore-introduction.json
65,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,ThreadPool internals and thread starvation,1,course/csharp-fundamentals/advanced-async-concurrency-threading/threadpool-internals-and-thread-starvation.json
66,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,CLR architecture and execution model,1,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/clr-architecture-and-execution-model.json
67,course,ASP.NET Core,1,Entity Framework Core,8,DbContext and Migrations,2,course/aspnet-core/08-entity-framework-core/dbcontext-and-migrations.json
68,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,Task scheduling and continuations,2,course/csharp-fundamentals/advanced-async-concurrency-threading/task-scheduling-and-continuations.json
69,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Assembly loading and metadata,2,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/assembly-loading-and-metadata.json
70,course,ASP.NET Core,1,Entity Framework Core,8,Querying with LINQ,3,course/aspnet-core/08-entity-framework-core/querying-with-linq.json
71,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,Async I/O vs CPU-bound work,3,course/csharp-fundamentals/advanced-async-concurrency-threading/async-io-vs-cpu-bound-work.json
72,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,JIT compilation and tiered compilation,3,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/jit-compilation-and-tiered-compilation.json
73,course,ASP.NET Core,1,Entity Framework Core,8,Relationships and Configurations,4,course/aspnet-core/08-entity-framework-core/relationships-and-configurations.json
74,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,CancellationToken design,4,course/csharp-fundamentals/advanced-async-concurrency-threading/cancellationtoken-design.json
75,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,ReadyToRun and Native AOT,4,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/readytorun-and-native-aot.json
76,course,ASP.NET Core,1,Entity Framework Core,8,Performance Optimization,5,course/aspnet-core/08-entity-framework-core/performance-optimization.json
77,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,Race conditions and thread safety,5,course/csharp-fundamentals/advanced-async-concurrency-threading/race-conditions-and-thread-safety.json
78,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Reflection and its trade-offs,5,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/reflection-and-its-trade-offs.json
79,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,lock and Monitor,6,course/csharp-fundamentals/advanced-async-concurrency-threading/lock-and-monitor.json
80,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Managed heap and allocation lifecycle,6,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/managed-heap-and-allocation-lifecycle.json
81,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,SemaphoreSlim and bounded concurrency,7,course/csharp-fundamentals/advanced-async-concurrency-threading/semaphoreslim-and-bounded-concurrency.json
82,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,GC generations and collection behavior,7,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/gc-generations-and-collection-behavior.json
83,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,Concurrent collections,8,course/csharp-fundamentals/advanced-async-concurrency-threading/concurrent-collections.json
84,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Large Object Heap and pinned objects,8,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/large-object-heap-and-pinned-objects.json
85,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,Channels and producer-consumer pipelines,9,course/csharp-fundamentals/advanced-async-concurrency-threading/channels-and-producer-consumer-pipelines.json
86,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Server GC vs workstation GC,9,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/server-gc-vs-workstation-gc.json
87,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,"Deadlocks, starvation and livelocks",10,course/csharp-fundamentals/advanced-async-concurrency-threading/deadlocks-starvation-and-livelocks.json
88,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Allocation pressure and latency,10,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/allocation-pressure-and-latency.json
89,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,ValueTask and when it is appropriate,11,course/csharp-fundamentals/advanced-async-concurrency-threading/valuetask-and-when-it-is-appropriate.json
90,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,Boxing and hidden allocations,11,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/boxing-and-hidden-allocations.json
91,course,C# Fundamentals,1,"Advanced Async, Concurrency & Threading",8,Diagnosing async performance problems,12,course/csharp-fundamentals/advanced-async-concurrency-threading/diagnosing-async-performance-problems.json
92,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,"IDisposable, finalization and deterministic cleanup",12,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/idisposable-finalization-and-deterministic-cleanup.json
93,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,IAsyncDisposable and async resource cleanup,13,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/iasyncdisposable-and-async-resource-cleanup.json
94,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,"Span<T>, Memory<T> and ref structs",14,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/spant-memoryt-and-ref-structs.json
95,course,C# Fundamentals,1,"Advanced C# Runtime, Memory & Concurrency",8,ArrayPool<T> and MemoryPool<T>,15,course/csharp-fundamentals/advanced-c-runtime-memory-concurrency/arraypoolt-and-memorypoolt.json
96,course,ASP.NET Core,1,Authentication and Authorization,9,Authentication and Authorization Basics,1,course/aspnet-core/09-authentication-authorization/auth-basics.json
97,course,ASP.NET Core,1,Authentication and Authorization,9,ASP.NET Core Identity Setup,2,course/aspnet-core/09-authentication-authorization/identity-setup.json
98,course,ASP.NET Core,1,Authentication and Authorization,9,JWT Tokens,3,course/aspnet-core/09-authentication-authorization/jwt-tokens.json
99,course,ASP.NET Core,1,Authentication and Authorization,9,Role-Based Access Control,4,course/aspnet-core/09-authentication-authorization/role-based-access.json
100,course,ASP.NET Core,1,Authentication and Authorization,9,Policy-Based Authorization,5,course/aspnet-core/09-authentication-authorization/policy-based-authorization.json
101,course,ASP.NET Core,1,Web API and REST,10,REST Principles,1,course/aspnet-core/10-web-api-rest/rest-principles.json
102,course,ASP.NET Core,1,Web API and REST,10,API Controllers,2,course/aspnet-core/10-web-api-rest/api-controllers.json
103,course,ASP.NET Core,1,Web API and REST,10,HTTP Methods and Status Codes,3,course/aspnet-core/10-web-api-rest/http-methods-and-status-codes.json
104,course,ASP.NET Core,1,Web API and REST,10,API Versioning and Documentation,4,course/aspnet-core/10-web-api-rest/versioning-and-documentation.json
105,course,ASP.NET Core,1,Web API and REST,10,Swagger and OpenAPI,5,course/aspnet-core/10-web-api-rest/swagger-and-openapi.json
106,course,ASP.NET Core,1,Testing and Debugging,11,Testing Fundamentals,1,course/aspnet-core/11-testing-debugging/testing-fundamentals.json
107,course,ASP.NET Core,1,Testing and Debugging,11,Unit Testing Controllers,2,course/aspnet-core/11-testing-debugging/unit-testing-controllers.json
108,course,ASP.NET Core,1,Testing and Debugging,11,Integration Testing,3,course/aspnet-core/11-testing-debugging/integration-testing.json
109,course,ASP.NET Core,1,Testing and Debugging,11,Debugging Techniques,4,course/aspnet-core/11-testing-debugging/debugging-techniques.json
110,course,ASP.NET Core,1,Testing and Debugging,11,Logging and Monitoring,5,course/aspnet-core/11-testing-debugging/logging-and-monitoring.json
111,course,ASP.NET Core,1,Deployment and Production,12,Deployment Options,1,course/aspnet-core/12-deployment-production/deployment-options.json
112,course,ASP.NET Core,1,Deployment and Production,12,Docker Containerization,2,course/aspnet-core/12-deployment-production/docker-containerization.json
113,course,ASP.NET Core,1,Deployment and Production,12,Cloud Deployment,3,course/aspnet-core/12-deployment-production/cloud-deployment.json
114,course,ASP.NET Core,1,Deployment and Production,12,Performance Tuning,4,course/aspnet-core/12-deployment-production/performance-tuning.json
115,course,ASP.NET Core,1,Deployment and Production,12,Monitoring and Alerting,5,course/aspnet-core/12-deployment-production/monitoring-and-alerting.json
116,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Kestrel and the ASP.NET Core hosting model,1,course/aspnet-core/asp-net-core-internals-production-hosting/kestrel-and-the-aspnet-core-hosting-model.json
117,course,ASP.NET Core,1,Performance & Observability,13,Request latency decomposition,1,course/aspnet-core/performance-observability/request-latency-decomposition.json
118,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Generic Host and application lifetime,2,course/aspnet-core/asp-net-core-internals-production-hosting/generic-host-and-application-lifetime.json
119,course,ASP.NET Core,1,Performance & Observability,13,Application metrics vs logs vs traces,2,course/aspnet-core/performance-observability/application-metrics-vs-logs-vs-traces.json
120,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Request pipeline and middleware execution,3,course/aspnet-core/asp-net-core-internals-production-hosting/request-pipeline-and-middleware-execution.json
121,course,ASP.NET Core,1,Performance & Observability,13,Distributed tracing across services,3,course/aspnet-core/performance-observability/distributed-tracing-across-services.json
122,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Endpoint routing internals,4,course/aspnet-core/asp-net-core-internals-production-hosting/endpoint-routing-internals.json
123,course,ASP.NET Core,1,Performance & Observability,13,Profiling CPU and allocations,4,course/aspnet-core/performance-observability/profiling-cpu-and-allocations.json
124,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Dependency injection lifetimes and scope validation,5,course/aspnet-core/asp-net-core-internals-production-hosting/dependency-injection-lifetimes-and-scope-validation.json
125,course,ASP.NET Core,1,Performance & Observability,13,Connection pool exhaustion,5,course/aspnet-core/performance-observability/connection-pool-exhaustion.json
126,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Options pattern and configuration providers,6,course/aspnet-core/asp-net-core-internals-production-hosting/options-pattern-and-configuration-providers.json
127,course,ASP.NET Core,1,Performance & Observability,13,Thread pool starvation,6,course/aspnet-core/performance-observability/thread-pool-starvation.json
128,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,IHttpClientFactory and handler lifetimes,7,course/aspnet-core/asp-net-core-internals-production-hosting/ihttpclientfactory-and-handler-lifetimes.json
129,course,ASP.NET Core,1,Performance & Observability,13,Slow API investigation workflow,7,course/aspnet-core/performance-observability/slow-api-investigation-workflow.json
130,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,BackgroundService and hosted workloads,8,course/aspnet-core/asp-net-core-internals-production-hosting/backgroundservice-and-hosted-workloads.json
131,course,ASP.NET Core,1,Performance & Observability,13,Health endpoints and dependency checks,8,course/aspnet-core/performance-observability/health-endpoints-and-dependency-checks.json
132,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Health checks and readiness vs liveness,9,course/aspnet-core/asp-net-core-internals-production-hosting/health-checks-and-readiness-vs-liveness.json
133,course,ASP.NET Core,1,Performance & Observability,13,Structured logging and correlation IDs,9,course/aspnet-core/performance-observability/structured-logging-and-correlation-ids.json
134,course,ASP.NET Core,1,ASP.NET Core Internals & Production Hosting,13,Request cancellation and graceful shutdown,10,course/aspnet-core/asp-net-core-internals-production-hosting/request-cancellation-and-graceful-shutdown.json
135,course,ASP.NET Core,1,Performance & Observability,13,Production performance regression analysis,10,course/aspnet-core/performance-observability/production-performance-regression-analysis.json
136,course,ASP.NET Core Web API,3,Getting Started,1,What is Web API,1,course/aspnet-core-web-api/01-getting-started/what-is-web-api.json
137,course,ASP.NET Core Web API,3,Getting Started,1,Creating a Web API Project,2,course/aspnet-core-web-api/01-getting-started/creating-project.json
138,course,ASP.NET Core Web API,3,Getting Started,1,Project Structure,3,course/aspnet-core-web-api/01-getting-started/project-structure.json
139,course,ASP.NET Core Web API,3,Getting Started,1,Your First Endpoint,4,course/aspnet-core-web-api/01-getting-started/first-endpoint.json
140,course,ASP.NET Core Web API,3,Controllers and Routing,2,Routing Basics,1,course/aspnet-core-web-api/02-controllers-routing/routing-basics.json
141,course,ASP.NET Core Web API,3,Controllers and Routing,2,Attribute Routing,2,course/aspnet-core-web-api/02-controllers-routing/attribute-routing.json
142,course,ASP.NET Core Web API,3,Controllers and Routing,2,Route Constraints,3,course/aspnet-core-web-api/02-controllers-routing/route-constraints.json
143,course,ASP.NET Core Web API,3,Model Binding,3,Model Binding Basics,1,course/aspnet-core-web-api/03-model-binding/model-binding-basics.json
144,course,ASP.NET Core Web API,3,Model Binding,3,FromBody,2,course/aspnet-core-web-api/03-model-binding/from-body.json
145,course,ASP.NET Core Web API,3,Model Binding,3,FromQuery,3,course/aspnet-core-web-api/03-model-binding/from-query.json
146,course,ASP.NET Core Web API,3,Middleware,4,Middleware Basics,1,course/aspnet-core-web-api/04-middleware/middleware-basics.json
147,course,ASP.NET Core Web API,3,Middleware,4,Built-in Middleware,2,course/aspnet-core-web-api/04-middleware/built-in-middleware.json
148,course,ASP.NET Core Web API,3,Middleware,4,Custom Middleware,3,course/aspnet-core-web-api/04-middleware/custom-middleware.json
149,course,ASP.NET Core Web API,3,Dependency Injection,5,Dependency Injection Basics,1,course/aspnet-core-web-api/05-dependency-injection/di-basics.json
150,course,ASP.NET Core Web API,3,Dependency Injection,5,Service Lifetimes,2,course/aspnet-core-web-api/05-dependency-injection/service-lifetimes.json
151,course,ASP.NET Core Web API,3,Dependency Injection,5,Injecting Services,3,course/aspnet-core-web-api/05-dependency-injection/injecting-services.json
152,course,ASP.NET Core Web API,3,Error Handling and Validation,6,Validation Basics,1,course/aspnet-core-web-api/06-error-handling-validation/validation-basics.json
153,course,ASP.NET Core Web API,3,Error Handling and Validation,6,Problem Details,2,course/aspnet-core-web-api/06-error-handling-validation/problem-details.json
154,course,ASP.NET Core Web API,3,Error Handling and Validation,6,Global Error Handling,3,course/aspnet-core-web-api/06-error-handling-validation/global-error-handling.json
155,course,ASP.NET Core Web API,3,Authentication Basics,7,Authentication Overview,1,course/aspnet-core-web-api/07-authentication-basics/auth-overview.json
156,course,ASP.NET Core Web API,3,Authentication Basics,7,JWT Basics,2,course/aspnet-core-web-api/07-authentication-basics/jwt-basics.json
157,course,ASP.NET Core Web API,3,Authentication Basics,7,Authorization Policies,3,course/aspnet-core-web-api/07-authentication-basics/authorization-policies.json
158,course,ASP.NET Core Web API,3,Logging and Configuration,8,Logging Basics,1,course/aspnet-core-web-api/08-logging-configuration/logging-basics.json
159,course,ASP.NET Core Web API,3,Logging and Configuration,8,Structured Logging,2,course/aspnet-core-web-api/08-logging-configuration/structured-logging.json
160,course,ASP.NET Core Web API,3,Logging and Configuration,8,Configuration Options,3,course/aspnet-core-web-api/08-logging-configuration/configuration-options.json
161,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,API versioning and compatibility,1,course/aspnet-core-web-api/production-api-design-reliability/api-versioning-and-compatibility.json
162,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,Problem Details and consistent error contracts,2,course/aspnet-core-web-api/production-api-design-reliability/problem-details-and-consistent-error-contracts.json
163,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,"Pagination, filtering and sorting design",3,course/aspnet-core-web-api/production-api-design-reliability/pagination-filtering-and-sorting-design.json
164,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,Idempotency keys and duplicate request handling,4,course/aspnet-core-web-api/production-api-design-reliability/idempotency-keys-and-duplicate-request-handling.json
165,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,ETags and conditional requests,5,course/aspnet-core-web-api/production-api-design-reliability/etags-and-conditional-requests.json
166,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,Optimistic concurrency for APIs,6,course/aspnet-core-web-api/production-api-design-reliability/optimistic-concurrency-for-apis.json
167,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,Rate limiting and load shedding,7,course/aspnet-core-web-api/production-api-design-reliability/rate-limiting-and-load-shedding.json
168,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,"Timeouts, retries and cancellation",8,course/aspnet-core-web-api/production-api-design-reliability/timeouts-retries-and-cancellation.json
169,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,Streaming APIs and large payloads,9,course/aspnet-core-web-api/production-api-design-reliability/streaming-apis-and-large-payloads.json
170,course,ASP.NET Core Web API,3,Production API Design & Reliability,9,Webhooks and reliable callback processing,10,course/aspnet-core-web-api/production-api-design-reliability/webhooks-and-reliable-callback-processing.json
171,course,LINQ — Language-Integrated Query,4,Getting Started with LINQ,1,What is LINQ?,1,course/linq/01-getting-started-linq/what-is-linq.json
172,course,LINQ — Language-Integrated Query,4,Getting Started with LINQ,1,Why Use LINQ?,2,course/linq/01-getting-started-linq/why-linq.json
173,course,LINQ — Language-Integrated Query,4,Getting Started with LINQ,1,LINQ API in .NET,3,course/linq/01-getting-started-linq/linq-api-in-net.json
174,course,LINQ — Language-Integrated Query,4,Getting Started with LINQ,1,Learn LINQ: Step-by-Step Tutorials,4,course/linq/01-getting-started-linq/learn-linq-step-by-step.json
175,course,LINQ — Language-Integrated Query,4,LINQ Fundamentals — Syntax & Lambda Expressions,2,LINQ Query Expression Syntax,1,course/linq/02-linq-fundamentals-syntax/linq-query-syntax.json
176,course,LINQ — Language-Integrated Query,4,LINQ Fundamentals — Syntax & Lambda Expressions,2,LINQ Method Syntax,2,course/linq/02-linq-fundamentals-syntax/linq-method-syntax.json
177,course,LINQ — Language-Integrated Query,4,LINQ Fundamentals — Syntax & Lambda Expressions,2,Anatomy of the Lambda Expression,3,course/linq/02-linq-fundamentals-syntax/anatomy-of-lambda-expression.json
178,course,LINQ — Language-Integrated Query,4,Filtering & Projection,3,Filtering with Where,1,course/linq/03-filtering-projection/filtering-operator-where.json
179,course,LINQ — Language-Integrated Query,4,Filtering & Projection,3,OfType Filtering Operator,2,course/linq/03-filtering-projection/oftype-filtering-operator.json
180,course,LINQ — Language-Integrated Query,4,Filtering & Projection,3,Projection Operators (Select & SelectMany),3,course/linq/03-filtering-projection/projection-operators.json
181,course,LINQ — Language-Integrated Query,4,Sorting & Grouping,4,Sorting with OrderBy & OrderByDescending,1,course/linq/04-sorting-grouping/orderby-orderbydescending.json
182,course,LINQ — Language-Integrated Query,4,Sorting & Grouping,4,Secondary Sorting with ThenBy & ThenByDescending,2,course/linq/04-sorting-grouping/thenby-thenbydescending.json
183,course,LINQ — Language-Integrated Query,4,Sorting & Grouping,4,Grouping with GroupBy & ToLookup,3,course/linq/04-sorting-grouping/grouping-operator-groupby-tolookup.json
184,course,LINQ — Language-Integrated Query,4,Joining Data,5,Inner Join with Join,1,course/linq/05-joining-data/join-operator.json
185,course,LINQ — Language-Integrated Query,4,Joining Data,5,Group Join with GroupJoin,2,course/linq/05-joining-data/groupjoin-operator.json
186,course,LINQ — Language-Integrated Query,4,Set Operations,6,Distinct — Removing Duplicates,1,course/linq/06-set-operations/distinct-set-operator.json
187,course,LINQ — Language-Integrated Query,4,Set Operations,6,Except — Set Difference,2,course/linq/06-set-operations/except-set-operator.json
188,course,LINQ — Language-Integrated Query,4,Set Operations,6,Intersect — Set Intersection,3,course/linq/06-set-operations/intersect-set-operator.json
189,course,LINQ — Language-Integrated Query,4,Set Operations,6,Union — Combining Sets,4,course/linq/06-set-operations/union-set-operator.json
