"Module"	"JsonFile"	"Title"	"BlockCount"	"HasImageInJson"	"ImageCountInJson"	"BlockTypes"	"MdExists"	"MdHasImages"	"ImageCountInMd"	"MdSectionCount"
"05-grouping-aggregation-subqueries"	"03-cube.json"	"CUBE"	"19"	"True"	"2"	"example, heading, image, paragraph, summary-box"	"True"	"True"	"2"	"2"
"05-grouping-aggregation-subqueries"	"04-rollup.json"	"ROLLUP"	"18"	"True"	"2"	"example, heading, image, paragraph, summary-box"	"True"	"True"	"3"	"3"
"05-grouping-aggregation-subqueries"	"05-grouping-sets.json"	"GROUPING SETS"	"24"	"True"	"3"	"bullet-list, example, heading, image, paragraph, summary-box"	"True"	"True"	"7"	"4"
"05-grouping-aggregation-subqueries"	"06-pivot-operator.json"	"PIVOT Operator"	"21"	"True"	"3"	"bullet-list, example, heading, image, paragraph, summary-box"	"True"	"True"	"6"	"4"
"05-grouping-aggregation-subqueries"	"07-common-table-expressions.json"	"Common Table Expressions (CTE)"	"20"	"True"	"2"	"bullet-list, example, heading, image, paragraph, summary-box"	"True"	"True"	"2"	"2"
"05-grouping-aggregation-subqueries"	"08-recursive-cte.json"	"Recursive CTE"	"22"	"True"	"4"	"bullet-list, example, heading, image, numbered-list, paragraph, summary-box"	"True"	"True"	"4"	"1"
"05-grouping-aggregation-subqueries"	"09-correlated-subquery.json"	"Correlated Subquery"	"9"	"False"		"example, heading, image, paragraph, summary-box"	"True"	"True"	"2"	"1"
"05-grouping-aggregation-subqueries"	"10-subquery.json"	"Subquery"	"24"	"True"	"4"	"bullet-list, example, heading, image, paragraph, summary-box"	"True"	"True"	"14"	"2"
"05-grouping-aggregation-subqueries"	"11-any-operator.json"	"ANY Operator"	"12"	"False"		"callout, example, heading, image, paragraph, summary-box"	"True"	"True"	"1"	"2"
"05-grouping-aggregation-subqueries"	"12-exists-operator.json"	"EXISTS Operator"	"20"	"True"	"3"	"example, heading, image, paragraph, summary-box"	"True"	"True"	"5"	"3"
"05-grouping-aggregation-subqueries"	"13-all-operator.json"	"ALL Operator"	"15"	"True"	"2"	"example, heading, image, paragraph, summary-box"	"True"	"True"	"4"	"2"
